Monit_MAP_CODE1,Year,GARAGE_mean,BASEMENT_mean,OTHER_COOLING,UNKNOWN_COOLING,FORCED AIR_COOLING,N_COOLING,Y_COOLING,1 AC UNIT_COOLING,A/CON_COOLING,CENTRAL W/AIR COND_COOLING,1_COOLING,0_COOLING,CONDOMINIUM,UNKNOWN_DWELL_TYPE,OTHER_DWELL,SINGLE-FAMILY / OWNER OCCUPIED,TOWNHOUSE,S.FAM.RES
19002700-01,2007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09920844327176781,0.05699208443271768,0.0,0.11081794195250659,0.732981530343008
10005200-01,2012,0.5591531755915318,0.0,0.008717310087173101,0.5006226650062267,0.0,0.0,0.0,0.49066002490660027,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82009002-01,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82011301-01,2007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82010100-01,2010,0.524822695035461,0.6382978723404256,0.0,0.524822695035461,0.0,0.0,0.475177304964539,0.0,0.0,0.0,0.0,0.0,0.0,0.3617021276595745,0.014184397163120567,0.624113475177305,0.0,0.0
19003300-01,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07010243277848911,0.05537772087067862,0.0,0.32522407170294493,0.5492957746478874
19002700-01,2009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09984152139461172,0.05705229793977813,0.0,0.1109350237717908,0.7321711568938193
10005200-01,2008,0.20909090909090908,0.0,0.005194805194805195,0.6597402597402597,0.0,0.0,0.0,0.33506493506493507,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10001900-01,2010,0.3604299630500504,0.0,0.012092710782667115,0.2670473631172321,0.0,0.0,0.0,0.7208599261001007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82005400-01,2009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
